source,target
2315631,2575031
2315631,2577299
2315634,2319037
2315634,2320442
2315634,2575306
2315634,2575203
2315634,2575233
2315634,2575434
2315634,2575295
2315634,2577342
2315635,2319053
2315635,2320442
2315635,2575306
2315635,2575203
2315635,2575233
2315635,2575434
2315635,2575295
2315635,2577342
2315636,2581118
2315636,2581125
2315636,2575146
2315636,2575284
2315636,2322349
2315636,2322369
2315636,2320442
2315636,2575306
2315636,2575203
2315636,2575233
2315636,2575434
2315636,2575295
2315636,2577342
2315639,2575031
2315639,2577299
2315640,2586857
2315640,2318869
2315640,2318917
2315640,2315649
2315640,2319694
2315640,2575233
2315640,2323151
2315644,2581118
2315644,2581125
2315644,2322349
2315644,2322384
2315644,2322352
2315644,2320442
2315644,2575306
2315644,2575203
2315644,2575233
2315644,2575434
2315644,2575295
2315644,2577342
2315645,2575271
2315645,2315659
2315645,2318891
2315645,2315655
2315646,2318930
2315646,2318891
2315646,2318917
2315646,2577464
2315646,2578247
2315646,2574990
2315646,2575233
2315649,2318889
2315649,2315659
2315649,2318917
2315649,2318934
2315649,2320673
2315649,2320671
2315649,2315641
2315649,2575046
2315649,2577436
2315650,2575271
2315650,2315659
2315650,2318891
2315650,2315655
2315651,2319801
2315651,2586857
2315651,2319694
2315651,2578161
2315651,2578163
2315651,2575366
2315651,2323151
2315654,2319801
2315654,2575271
2315654,2586857
2315654,2319694
2315654,2318902
2315655,2315659
2315655,2318891
2315655,2318917
2315655,2315649
2315655,2318934
2315655,2319694
2315655,2575233
2315655,2323151
2315656,2586857
2315656,2318869
2315656,2318917
2315656,2315649
2315656,2319694
2315656,2575233
2315656,2323151
2315659,2318891
2315660,2575271
2315660,2315659
2315660,2318891
2315660,2315655
2315661,2318996
2315661,2575233
2315661,2575295
2315661,2577342
2315664,2575408
2315664,2584795
2315664,2320442
2315664,2575306
2315664,2575203
2315664,2575233
2315664,2575434
2315664,2575295
2315664,2577342
2315665,2322342
2315665,2575430
2315665,2575110
2315665,2575369
2315666,2575408
2315666,2575146
2315666,2575284
2315666,2584798
2315666,2320442
2315666,2575306
2315666,2575203
2315666,2575233
2315666,2575434
2315666,2575295
2315666,2577342
2315669,2575271
2315669,2315659
2315669,2318891
2315669,2318934
2315669,2315655
