source,target
2588066,2588564
2588066,2591367
2588066,2588426
2588066,2588558
2588066,2747229
2588066,2674614
2588066,2668318
2588066,2588091
2588068,2654727
2588068,2588291
2588068,2588603
2588068,2588079
2588069,2654834
2588069,2595650
2588069,2595661
2588069,2595634
2588069,2595632
2588069,2588291
2588070,2588071
2588070,2588078
2588070,2588603
2588070,2594937
2588070,2588069
2588070,2588087
2588070,2668292
2588070,2588065
2588070,2653037
2588070,2654483
2588071,2594937
2588073,2655372
2588073,2732122
2588073,2594574
2588073,2654837
2588073,2654270
2588073,2654483
2588073,2655478
2588073,2654764
2588073,2668330
2588074,2655372
2588074,2653908
2588074,2654673
2588074,2732143
2588074,2594574
2588074,2654837
2588074,2654270
2588074,2654483
2588074,2655478
2588074,2654764
2588074,2668330
2588075,2588182
2588075,2655127
2588075,2588600
2588076,2654727
2588076,2588291
2588076,2588603
2588076,2588079
2588078,2653037
2588078,2594916
2588078,2588603
2588078,2588069
2588079,2588291
2588079,2588603
2588079,2588069
2588079,2588087
2588079,2588071
2588079,2591367
2588079,2654483
2588079,2610919
2588080,2654727
2588080,2588291
2588080,2588603
2588080,2588071
2588080,2588079
2588081,2654727
2588081,2588291
2588081,2588603
2588081,2588079
2588082,2654727
2588082,2588291
2588082,2588603
2588082,2588079
2588086,2653344
2588086,2668007
2588087,2588291
2588087,2588181
2588087,2668799
2588087,2653433
2588087,2588339
2588087,2595650
2588087,2595646
2588087,2588071
2588087,2588069
2588088,2653344
2588088,2668007
2588089,2588071
2588089,2588603
2588090,2589009
2588090,2594574
2588090,2654837
2588090,2654270
2588090,2654483
2588090,2655478
2588090,2654764
2588090,2668330
2588091,2588559
2588091,2747229
2588091,2653037
2588091,2655453
2588123,2588603
2588123,2588069
2588123,2588071
2588124,2654727
2588124,2588291
2588124,2588603
2588124,2588079
2588157,2653344
2588157,2668007
2588170,2588540
2588170,2588078
2588170,2588181
2588170,2588603
2588170,2588087
2588170,2588070
2588170,2655127
2588170,2653037
2588170,2655453
2588170,2653745
2588170,2668833
2588171,2654727
2588171,2588291
2588171,2588603
2588171,2588079
2588174,2588542
2588174,2588078
2588174,2588181
2588174,2588603
2588174,2588087
2588174,2588070
2588174,2655127
2588174,2653037
2588174,2655453
2588174,2653745
2588174,2668833
2588175,2654727
2588175,2588291
2588175,2588603
2588175,2588079
2588176,2654727
2588176,2588291
2588176,2588603
2588176,2588079
2588177,2654727
2588177,2588291
2588177,2588603
2588177,2588079
2588178,2747229
2588178,2588123
2588178,2588069
2588178,2588087
2588178,2591367
2588178,2654483
2588178,2610919
2588179,2654727
2588179,2588291
2588179,2588603
2588179,2588079
2588180,2654727
2588180,2588291
2588180,2588603
2588180,2588079
2588181,2668690
2588181,2595533
2588181,2653190
2588181,2655127
2588181,2654881
2588181,2588170
2588181,2588174
2588181,2588339
2588181,2588595
2588181,2588593
2588181,2595655
2588181,2595661
2588181,2588069
2588181,2588087
2588181,2588291
2588181,2588603
2588182,2588349
2588182,2588075
2588182,2588600
2588182,2588562
