source,target
55139,55140
55139,75565
55139,58855
55139,74120
55139,74217
55139,74260
55139,70353
55139,70093
55139,66900
55139,66901
55139,69668
55139,57777
55139,75584
55140,74204
55142,55158
55142,55194
55142,60473
55142,55155
55145,57898
55145,55178
55145,64946
55145,58954
55145,58236
55145,58784
55145,60310
55145,55255
55146,65712
55147,55269
55147,55209
55147,66379
55147,64184
55147,64949
55147,65974
55147,60946
55147,62711
55147,55278
55148,55250
55148,55191
55148,66347
55148,58236
55149,65712
55154,55269
55154,55160
55154,55158
55154,66355
55154,66367
55154,66379
55154,64949
55154,60897
55154,65974
55154,64789
55154,62711
55154,55278
55155,55208
55155,55165
55155,65974
55155,55178
55156,58254
55156,55168
55156,66332
55156,55229
55156,55238
55156,66331
55156,66355
55156,66367
55156,66374
55156,59063
55156,71593
55157,55255
55157,59189
55157,55148
55157,59536
55157,58383
55157,71341
55157,55207
55157,65712
55157,63635
55157,61561
55157,64949
55157,60230
55157,58236
55157,57718
55158,66367
55158,63583
55159,55168
55159,55156
55159,55238
55159,66355
55159,66348
55159,66367
55159,66374
55159,66332
55159,58236
55159,66410
55159,57777
55159,75584
55160,55158
55160,66367
55160,65552
55160,63583
55160,61561
55161,55267
55161,58293
55161,59536
55161,66368
55161,75535
55162,65712
55165,55194
55165,55158
55165,66367
55165,66351
55165,65552
55165,63583
55165,61561
55167,55208
55167,55165
55167,66367
55167,66342
55167,66351
55167,66379
55167,64949
55167,65974
55167,55205
55168,55175
55168,55227
55168,55229
55168,66367
55168,66325
55168,58236
55169,68720
55169,68440
55169,68748
55169,68540
55169,68990
55169,68234
55169,68533
55169,68960
55169,68740
55169,68152
55169,68949
55169,68336
55169,68804
55169,68410
55169,68512
55169,68959
55169,68923
55169,71598
55170,55269
55170,55209
55170,55202
55170,55277
55170,55219
55170,55147
55170,55278
55170,64184
55170,65974
55170,60946
55170,55157
55171,55207
55171,55146
55171,55279
55171,55208
55171,55165
55171,55199
55171,55190
55171,55243
55171,55142
55171,55278
55171,66355
55171,66367
55171,66376
55171,66342
55171,66351
55171,65974
55171,60946
55171,55157
55175,55204
55175,55217
55175,66355
55175,66376
55175,66385
55175,66389
55175,66342
55175,66351
55175,68699
55175,71593
55175,71598
55177,55228
55177,55148
55177,57569
55177,59536
55177,57809
55177,58182
55177,55269
55177,55178
55177,55278
55177,66379
55177,72368
55177,66190
55177,65712
55177,63635
55177,65974
55177,60946
55177,62711
55177,65696
55177,60230
55177,60473
55177,75604
55177,75631
55177,59466
55177,58236
55177,57718
55178,55269
55178,61931
55178,65712
55178,63635
55178,61561
55178,64949
