source,target
51389,651321
51389,104886
51389,104092
51389,104886
51389,651321
51389,104092
51389,713042
51389,650402
51389,652286
51392,109363
51392,107648
51392,109363
51392,108462
51392,102488
51392,109351
51392,648015
51404,109350
51404,713045
51406,651220
51406,109167
51406,651220
51406,109167
51410,108741
51410,109356
51410,107474
51410,109356
51411,647953
51411,652286
51411,650402
51411,647953
51419,651220
51419,109420
51419,651220
51419,109420
51432,652505
51432,713048
51432,651220
51432,649603
51432,650402
51432,652286
51432,108887
51432,647861
51432,652505
51432,647861
51435,108517
51435,108007
51435,104286
51435,104286
51441,109045
51441,109045
51441,109045
51441,109480
51442,648924
51442,648446
51442,647858
51442,108742
51444,713048
51444,653035
51445,696289
51445,737282
51445,731316
51445,696256
51445,696744
51445,91618
51445,90133
51445,91618
51446,106129
51446,651544
51446,106129
51447,104092
51447,104092
51447,713042
51447,651440
51450,713048
51450,648602
51450,649543
51450,647955
51450,647608
51450,107471
51450,653481
51450,648763
51450,107200
51450,650551
51450,651199
51452,648763
51452,713048
51452,648602
51452,105139
51452,647608
51452,649904
51452,648763
51452,650551
51452,109364
51452,651199
51452,102164
51452,647893
51453,653316
51453,653534
51453,653316
51456,713042
51457,106687
51457,713048
51458,105126
51458,650074
51458,104494
51458,104494
51458,713045
51458,650856
51458,647893
51458,647554
51458,653428
51462,107649
51462,108762
51463,106764
51463,105895
51463,104898
51463,105895
51467,650046
51467,108007
51467,104286
51467,104286
51469,108007
51469,108947
51469,108707
51469,109357
51469,108007
51470,648481
51470,647752
51470,648285
51470,650856
51470,713042
51470,713045
51470,648602
51470,647929
51470,650856
51470,651544
51470,647752
51470,648285
51470,648740
51472,733880
51472,650395
51472,649694
51472,649139
51472,648578
51472,648217
51472,647857
51472,107004
51472,108888
51472,652968
51472,650402
51472,652286
51472,103738
51472,648460
51472,651303
51472,647892
51472,647857
51472,648217
51472,648578
51472,649139
51472,649694
51472,650395
51472,733880
51472,107593
51484,650962
51486,648950
51486,713042
77720,682457
77720,682457
77721,108259
77721,79163
77721,88329
77721,105081
77721,651544
77721,78135
77721,711836
77721,108888
77721,733584
77721,695269
77721,699907
77721,699807
77721,695438
77721,694507
77721,699625
77721,694429
77721,697025
77721,697126
77721,696962
77721,695251
77721,697028
77721,697270
77721,698163
77721,684966
77721,684974
77721,684967
77721,685321
77721,684833
77721,684978
77721,684877
77721,684909
77721,684916
77721,684920
77721,77980
77721,78311
77721,78594
77721,78281
77721,78133
77721,92526
77721,86692
77721,711836
77721,653303
77721,649146
77721,51456
77721,733853
77721,697494
77721,685280
77722,733880
77722,79276
77722,733584
77722,733853
77722,695269
77722,694507
77722,696962
77722,695251
77722,697028
77722,684966
77722,684815
77722,684833
77722,78594
77722,78281
77722,108259
77722,105137
77722,733880
77722,653303
77722,651544
77722,79276
77722,78052
77726,730692
77726,696177
77726,77733
77726,77954
77726,696515
77726,695269
77726,696962
77726,695251
77726,697028
77726,730220
77726,684833
77726,697318
77726,649292
77726,108259
77732,77953
77732,700109
77732,694577
77732,79274
77732,108948
77732,106814
77732,108888
77732,705597
77732,699499
77732,699128
77732,698667
77732,697793
77732,695250
77732,711298
77732,699213
77732,699807
77732,697758
77732,699748
77732,699599
77732,699625
77732,698617
77732,699253
77732,699772
77732,698571
77732,699429
77732,685009
77732,684877
77732,684909
77732,684920
77732,77857
77732,77980
77732,78281
77732,698458
77732,698477
77732,108356
77732,104742
77732,648855
77732,79274
77733,713048
77733,718307
77733,700310
77733,694507
77733,696962
77733,695251
77733,697028
77733,697602
77733,684833
77733,697318
77733,697978
77733,694742
77733,108259
77733,78277
77733,78054
77735,713044
77735,79280
77735,650076
77735,675529
77735,658000
77735,681661
77735,684830
77735,684839
77735,684977
77735,684920
77735,78138
77735,78033
77735,78135
77735,77953
77735,78311
77735,79280
77736,685426
77736,685778
77736,78617
77736,78271
77736,105229
77736,78058
77736,684977
77736,695250
77736,662810
77736,650375
77736,108888
77767,79124
77767,78921
77767,79245
77767,705597
77767,735695
77767,735233
77767,724083
77768,711836
77768,79210
77768,79702
77768,696962
77768,697028
77768,684830
77768,78133
77768,77998
77768,78159
77768,695518
77768,697849
77768,711829
77768,711836
77768,651544
77771,673170
77771,673170
77773,682378
77773,684839
77773,649604
77773,108888
77773,682378
77773,679094
77773,684830
77773,684839
