source,target
1424539,1424538
1424539,1597311
1424541,1433042
1424541,1596317
1424550,1424552
1424550,1426356
1424550,1426081
1424551,1424553
1424551,1433042
1424552,1426223
1424552,1595850
1424553,1597831
1424553,1599597
1424553,1433305
1424553,1599059
1424553,1431381
1424553,1597341
1424553,1435304
1424553,1435476
1424553,1598186
1424553,1598056
1424553,1599410
1424553,1597110
1424553,1597073
1424553,1597684
1424553,1430457
1424553,1429957
1424553,1598296
1424553,1598012
1424553,1435051
1424553,1599324
1424553,1599681
1424553,1597206
1424553,1436445
1424553,1435230
1424553,1596728
1424553,1595835
1424553,1434495
1424553,1595467
1424553,1596907
1424553,1595446
1424553,1594542
1424553,1595103
1424553,1600366
1424553,1435162
1424553,1435659
1424553,1440553
1424553,1595924
1424553,1594573
1424553,1598101
1424553,1436262
1424553,1598407
1424554,1424553
1424554,1433042
1424556,1595151
1424556,1426600
1424556,1424954
1424556,1598071
1424556,1424833
1424557,1426184
1424557,1425502
1424557,1426223
1424558,1425877
1424561,1435634
1424563,1425049
1424563,1425742
1424563,1594497
1424563,1426460
1424563,1424684
1424563,1426728
1424563,1425004
1424563,1425247
1424563,1425868
1424563,1597948
1424563,1424581
1424568,1425038
1424568,1425492
1424568,1426223
1424568,1425801
1424569,1426780
1424569,1425811
1424569,1426125
1424569,1426400
1424569,1426290
1424569,1424761
1424571,1426753
1424571,1424626
1424571,1426223
1424572,1428894
1424572,1426437
1424572,1425337
1424572,1424954
1424572,1599958
1424572,1425684
1424573,1425915
1424573,1426825
1424573,1425337
1424573,1424954
1424573,1426050
1424574,1426223
1424576,1426714
1424576,1426318
1424576,1425793
1424576,1425393
1424576,1425232
1424576,1426610
1424576,1426290
1424576,1426005
1424576,1598371
1424576,1426189
1424576,1426391
1424581,1425742
1424581,1597885
1424581,1595452
1424581,1425049
1424581,1426460
1424581,1424684
1424581,1426728
1424581,1425518
1424581,1425004
1424581,1425867
1424581,1425868
1424581,1426005
1424581,1433275
1424581,1597948
1424581,1426125
1424582,1425566
1424582,1424943
1424582,1425311
1424583,1428894
1424583,1425915
1424583,1424791
1424583,1425227
1424583,1424598
1424584,1428894
1424584,1424954
1424584,1426223
1424584,1424964
1424584,1424598
1424585,1425686
1424585,1599269
1424585,1597481
1424585,1600221
1424585,1595727
1424585,1600366
1424592,1428492
1424592,1428894
1424592,1426223
1424592,1426081
1424592,1431641
1424592,1599505
1424592,1424598
1424593,1426202
1424593,1425654
1424593,1425625
1424594,1426498
1424594,1598351
1424594,1426852
1424594,1426705
1424594,1431957
1424594,1424598
1424595,1425074
1424595,1426223
1424596,1426619
1424596,1425168
1424596,1430045
1424596,1431957
1424596,1424943
1424597,1425186
1424598,1426763
1424598,1598166
1424598,1596757
1424598,1428337
1424598,1428547
1424598,1428601
1424598,1428500
1424598,1428529
1424598,1428739
1424598,1428279
1424598,1596146
1424598,1597436
1424598,1596886
1424598,1599812
1424598,1597126
1424598,1594497
1424598,1425876
1424598,1425868
1424598,1426290
1424598,1425285
1424598,1426356
1424598,1426081
1424598,1596247
1424598,1597948
1424598,1594484
1424598,1594645
1424598,1435387
1424598,1595522
1424598,1596915
1424598,1597021
1424601,1424626
1424601,1426223
1424603,1424944
1424603,1428894
1424603,1424954
1424603,1424598
1424609,1425049
1424609,1425742
1424609,1594497
1424609,1426460
1424609,1424684
1424609,1426728
1424609,1426400
1424609,1425868
1424609,1597948
1424609,1424581
1424610,1427002
1424610,1426223
1424611,1425868
1424611,1425443
1424612,1427088
1424612,1433275
1424612,1435634
1424612,1431637
1424616,1425168
1424616,1424777
1424616,1426863
1424616,1425816
1424616,1427014
1424616,1431957
1424616,1424848
1424616,1425542
1424618,1426460
1424618,1424684
1424618,1425811
1424618,1426290
1424618,1426249
1424619,1428337
1424619,1594645
1424619,1426785
1424624,1424803
1424624,1428894
1424624,1599636
1424624,1425418
1424624,1424954
1424624,1424781
1424624,1435387
1424624,1599958
1424624,1425684
1424627,1599269
1424627,1599915
1424628,1428894
1424628,1424954
1424628,1425186
1424628,1426223
1424628,1426081
1424628,1424598
1424630,1426992
1424631,1426400
1424631,1426834
1424631,1425811
1424631,1425908
1424631,1426936
1424631,1425868
1424631,1426290
1424631,1426272
1424632,1425168
1424632,1425566
1424632,1424943
1424632,1426698
1424633,1599471
1424635,1426223
1424640,1426715
1424640,1599269
1424640,1433878
1424640,1595501
1424640,1430045
1424640,1434119
1424640,1595012
1424640,1595890
1424640,1432104
1424640,1595665
1424640,1426857
1424640,1426262
1424640,1425442
1424640,1424840
1424640,1425004
1424640,1425714
1424640,1426464
1424640,1424627
1424640,1425302
1424640,1425427
1424640,1424853
1424640,1425382
1424640,1426863
1424640,1424616
1424640,1425667
1424640,1425707
1424640,1425542
1424640,1425855
1424640,1426321
1424641,1428500
1424641,1428414
1424641,1428894
1424641,1428813
1424641,1428885
1424641,1424954
1424641,1426223
1424641,1426353
1424641,1435387
1424641,1424598
1424642,1425214
1424642,1598166
1424642,1594866
1424642,1426682
1424642,1425811
1424642,1424627
1424642,1425290
1424643,1426651
1424643,1424954
1424643,1424598
1424644,1426484
1424645,1424838
1424645,1425724
1424645,1426223
1424646,1426996
1424646,1426671
1424646,1426249
1424646,1430147
1424646,1595703
1424646,1429457
1424646,1595006
1424646,1425611
1424650,1426223
1424651,1426876
1424651,1426783
1424651,1428894
1424651,1424954
1424651,1424598
1424652,1425532
1424652,1426223
1424654,1426613
1424654,1426932
1424654,1425065
1424654,1425743
1424654,1424954
1424654,1424598
1424656,1425915
1424656,1426337
1424656,1425607
1424656,1425979
1424656,1424954
1424656,1426050
1424657,1426292
1424657,1426223
1424659,1426223
1424660,1426223
1424664,1428492
1424664,1428894
1424664,1424954
1424664,1426223
1424664,1597508
1424664,1425684
1424667,1424726
1424667,1599738
1424667,1424626
1424667,1424954
1424667,1424598
1424668,1428813
1424668,1428885
1424668,1425994
1424668,1424709
1424678,1428492
1424678,1428894
1424678,1426223
1424678,1424598
1424679,1425935
1424679,1424876
1424679,1428894
1424679,1425915
1424679,1424954
1424679,1425611
1424679,1426682
1424679,1424598
1424680,1425828
1424680,1428894
1424680,1428813
1424680,1428885
1424680,1424954
1424680,1598744
1424680,1424598
1424681,1428492
1424681,1428894
1424681,1428725
1424681,1425915
1424681,1424954
1424681,1426223
1424681,1431492
1424681,1598744
1424681,1594779
1424681,1430137
1424681,1596601
1424681,1436749
1424681,1441279
1424681,1424598
1424682,1426223
1424684,1425868
1424684,1426460
1424684,1425225
1424684,1425824
1424684,1425312
1424692,1425594
1424692,1426223
1424694,1426404
1424694,1425030
1424694,1425830
1424694,1426274
1424694,1426301
1424694,1430099
1424694,1596678
1424694,1433042
1424694,1425899
1424694,1425811
1424694,1424627
1424694,1425171
1424694,1426290
1424694,1598371
1424694,1599218
1424694,1426921
1424694,1426860
1424695,1426160
1424695,1426339
1424695,1424597
1424695,1436193
1424695,1598351
1424695,1425915
1424695,1425635
1424695,1424954
1424695,1426223
1424695,1424598
1424697,1426203
1424697,1426509
1424697,1426989
1424697,1436193
1424697,1598351
1424697,1425876
1424697,1424598
1424700,1426356
1424700,1426081
1424700,1594941
1424700,1428894
1424700,1428725
1424700,1426403
1424700,1426407
1424700,1426003
1424700,1424954
1424700,1426682
1424700,1594779
1424700,1424598
1424708,1426223
1424708,1431333
1424709,1428894
1424709,1428813
1424709,1428885
1424709,1426938
1424709,1426481
1424709,1425337
1424709,1424954
1424709,1424598
1424714,1424660
1424714,1426223
1424719,1426518
1424719,1424781
1424724,1426836
1424724,1426223
1424725,1425915
1424725,1426333
1424725,1424891
1424725,1424887
1424725,1424954
1424725,1426050
1424726,1424626
1424726,1425200
1424726,1426223
1424727,1425297
1424727,1426667
1424727,1425751
1424727,1425219
1424727,1597617
1424727,1595850
1424732,1425348
1424736,1425645
1424736,1426223
1424743,1595151
1424743,1425947
1424743,1426706
1424743,1424954
1424743,1598071
1424743,1424833
1424744,1595890
1424744,1425893
1424744,1425542
1424749,1426223
1424749,1424757
1424749,1425550
1424749,1424575
1424752,1424977
1424752,1426972
1424752,1424955
1424752,1428894
1424752,1425915
1424752,1424954
1424752,1424598
1424756,1426223
1424757,1425550
1424758,1428500
1424758,1428414
1424758,1428894
1424758,1424574
1424758,1424954
1424758,1435387
1424758,1424598
1424759,1426004
1424761,1596286
