source,target
1600937,1600936
1600937,1659754
1600939,1605864
1600939,1649368
1600952,1604748
1600952,1606835
1600952,1602656
1600952,1604660
1600952,1602981
1600958,1603160
1600958,1602598
1600958,1601956
1600958,1603160
1600958,1602598
1600958,1601956
1600958,1612125
1600958,1612915
1600958,1601103
1600958,1605864
1600958,1601103
1600964,1606205
1600964,1604678
1600964,1603602
1600964,1604252
1600964,1604011
1600964,1601287
1600964,1607955
1600964,1603319
1600964,1601675
1600964,1603532
1600964,1602982
1600964,1601193
1600964,1606868
1600964,1604257
1600964,1602152
1600964,1601691
1600964,1603534
1600964,1605940
1600964,1607888
1600964,1647929
1600964,1622914
1600964,1649728
1600964,1643358
1600964,1627956
1600964,1616848
1600964,1646821
1600964,1627390
1600964,1673744
1600964,1606205
1600964,1607496
1600977,1615818
1600977,1633379
1600977,1602594
1600977,1601944
1600977,1602594
1600977,1601944
1600977,1612440
1600977,1611995
1600977,1612915
1600977,1612857
1600977,1612978
1600977,1602266
1600977,1601103
1600977,1605864
1600977,1606280
1600977,1632418
1600977,1601103
1600981,1604936
1600981,1601545
1600981,1612915
1600981,1604999
1600981,1602266
1600981,1601103
1600981,1604213
1600981,1607462
1600981,1601103
1600987,1618146
1600987,1612915
1600987,1612857
1600987,1612978
1600987,1608115
1600987,1606719
1600987,1603412
1600987,1602266
1600987,1601103
1600987,1601103
1600991,1605864
1600999,1601705
1600999,1604242
1600999,1605864
1601009,1607941
1601009,1607663
1601009,1612915
1601009,1602266
1601009,1601103
1601009,1601103
1601015,1606271
1601015,1605400
1601015,1642875
1601015,1612915
1601015,1612790
1601015,1606412
1601015,1606415
1601015,1605303
1601015,1602266
1601015,1601103
1601015,1607462
1601015,1641731
1601015,1601103
1601027,1605620
1601027,1606206
1601027,1601350
1601027,1634413
1601027,1667120
1601027,1604999
1601027,1604031
1601027,1602266
1601027,1601103
1601027,1605864
1601027,1601103
1601033,1605864
1601042,1607951
1601042,1606414
1601042,1601995
1601042,1608048
1601042,1673444
1601042,1667264
1601042,1606148
1601042,1602832
1601042,1601193
1601042,1604566
1601042,1604866
1601042,1625536
1601042,1655110
1601042,1617518
1601042,1607951
1601042,1608048
1601042,1606048
1601042,1606058
1601042,1604684
1601046,1601993
1601046,1601918
1601046,1601993
1601046,1601918
