source,target
1641599,2086576
1641599,2086593
1641599,2086586
1641599,2086564
1641599,2086647
1641599,2086598
1641599,2086594
1641599,2086666
1641599,2086559
1646844,2086565
1646844,2087209
1646844,2087277
1646844,2087197
1646844,2086576
1646844,2086616
1646844,2086564
1646844,2086647
1646844,2086598
1647598,1648807
1647598,2087742
1647598,1647707
1647598,1648194
1647598,1647961
1647599,1649163
1647599,1648088
1647599,1648194
1647599,1647951
1647601,1648689
1647601,1648917
1647601,1649018
1647601,1648552
1647601,1648080
1647601,1649091
1647601,1648590
1647631,1648941
1647631,1648847
1647631,1647927
1647631,1647716
1647644,1648981
1647644,1648612
1647644,1648486
1647644,1647707
1647644,1648578
1647644,2087958
1647647,1647965
1647648,1648481
1647648,2087429
1647648,2087411
1647648,1647658
1647648,1647738
1647648,1648084
1647648,2087388
1647649,1647803
1647649,1648343
1647649,1649204
1647649,1648150
1647649,1648911
1647649,1648120
1647649,1648187
1647649,1648407
1647649,1648035
1647649,1648040
1647650,1648917
1647650,1648402
1647650,1648552
1647650,1648590
1647652,1648781
1647652,1649180
1647653,2087676
1647654,1647833
1647654,1647707
1647654,2088347
1647654,1648208
1647654,2087593
1647657,1648807
1647657,2087952
1647658,2087775
1647658,2087429
1647658,2087863
1647665,1648533
1647665,1648687
1647665,2087676
1647665,1647653
1647665,1649001
1647671,1649276
1647671,1648533
1647671,1648687
1647671,1648868
1647671,2088347
1647671,2087381
1647671,2087849
1647671,2087411
1647671,2087835
1647671,2087553
1647671,2087368
1647671,2087404
1647671,2087415
1647671,1647927
1647671,1647833
1647671,1647707
1647671,1648925
1647671,1648208
1647671,1648700
1647677,1649204
1647677,1649163
1647677,1647927
1647679,2088347
1647679,2087620
1647679,1648208
1647680,1648690
1647680,1647766
1647680,2088421
1647680,1649158
1647680,1647981
1647680,1648238
1647680,1649007
1647680,2086499
1647682,1648637
1647682,1648378
1647682,1647722
1647685,1648922
1647685,1648941
1647685,2087590
1647685,2087547
1647685,2087621
1647685,2087525
1647685,2087933
1647685,1649098
1647685,1647728
1647692,1648159
1647692,1648238
1647692,1649151
1647692,2087610
1647692,1648236
1647692,1648863
1647692,1647864
1647692,1648937
1647694,1649235
1647694,1648341
1647694,1647880
1647694,1647837
1647694,1648549
1647694,1648035
1647694,1647864
1647694,1648343
1647700,1648749
1647700,1649172
1647700,1648976
1647700,1649086
1647700,1648115
1647700,1648629
1647701,1648941
1647701,1648565
1647701,1647927
1647701,1647788
1647701,1649251
1647702,1647968
1647702,1648425
1647702,2088388
1647702,2088347
1647702,2087509
1647702,2087361
1647702,2087392
1647702,2087638
1647702,1648922
1647702,1648495
1647702,1648208
1647702,1648486
1647702,1648981
1647702,1647890
1647702,1648385
1647702,2087600
1647702,1648984
1647702,2087526
1647703,1649276
1647703,1648533
1647703,1648687
1647703,2087835
1647703,2087553
1647703,1647707
1647703,1648391
1647703,1648700
1647707,2087376
1647707,1647782
1647707,1648578
1647707,1647899
1647707,1649204
1647707,2087798
1647707,2087881
1647708,1649276
1647708,1648533
1647708,1648208
1647708,1648687
1647708,1648391
1647708,1648868
1647708,2087753
1647708,2087381
1647708,2087920
1647708,2087411
1647708,2087835
1647708,2087553
1647708,1647707
1647708,1648541
1647708,1648109
1647708,1648700
1647709,1648159
1647709,1648238
1647709,2087448
1647709,1647837
1647709,1648410
1647709,1648236
1647709,1648863
1647709,1647864
1647709,1648937
1647714,1649163
1647714,1648088
1647714,1648194
1647714,1647951
1647715,1648338
1647715,1648478
1647715,1649163
1647715,1648088
1647715,1648194
1647715,2088390
1647715,1647829
1647715,1648660
1647715,1647951
1647716,1648922
1647716,1648941
1647716,1648702
1647716,1647752
1647716,1648205
1647716,1648972
1647716,1647927
1647716,2087656
1647716,2087541
1647716,1647671
1647716,2087694
1647716,1648579
1647716,1647725
1647716,1647903
1647716,1648779
1647716,2087879
1647716,1647788
1647716,1647685
1647717,1648922
1647717,1648941
1647717,2087952
1647717,2087656
1647717,2087541
1647717,2087694
1647717,1648404
1647717,1648394
1647717,1649169
1647717,1648626
1647717,1648489
1647717,1647671
1647717,1648639
1647717,1647725
1647717,1647788
1647717,1647685
1647718,1648941
1647718,1649041
1647718,1647927
1647718,1647716
1647721,1648807
1647721,2087732
1647721,2087420
1647721,1647707
1647721,1648660
1647721,1648194
1647721,1647598
1647722,1648637
1647723,1648169
1647723,2087609
1647725,1648807
1647725,2087809
1647725,2087420
1647725,1647833
1647725,1648578
1647725,1648541
1647725,1647707
1647725,1647654
1647725,1648109
1647725,1648660
1647725,1648194
1647725,1648750
1647728,1648941
1647728,2088359
1647728,2087590
1647728,2087547
1647728,2087621
1647728,2087933
1647728,1649098
1647728,1648851
1647728,1648470
1647729,1648159
1647729,1648238
1647729,2087610
1647729,1647837
1647729,1648194
1647729,1648236
1647729,1648863
1647729,1647864
1647729,1648937
1647735,1649276
1647735,1648533
1647735,1648687
1647735,1647665
1647735,2087835
1647735,2087553
1647735,2087676
1647735,1647707
1647735,1648391
1647735,1648700
1647738,2087588
1647738,2087904
1647742,1647657
1647742,1649038
1647742,2087778
1647742,2087716
1647742,1647707
1647742,1648905
1647743,2087640
1647743,1647738
1647743,2087399
1647745,2088421
1647745,1647896
1647745,1648097
1647748,1649010
1647748,1648689
1647748,1648917
1647748,1648402
1647748,1647650
1647748,1647652
1647748,1648590
1647749,1648377
1647749,2088359
1647752,2088347
1647752,2087724
1647752,2087420
1647752,2087368
1647752,2087509
1647752,2087479
1647752,1647927
1647752,1648807
1647752,1647833
1647752,1647707
1647752,1648925
1647752,1648208
1647752,1648660
1647752,1648397
1647752,1648194
1647752,1648750
1647759,1647652
1647759,1648409
1647759,1648549
1647760,1648629
1647760,1648708
1647766,2088347
1647766,2088419
1647766,1649158
1647766,1649198
1647766,1647981
1647766,1648238
1647766,1649007
1647766,1648208
1647766,1648690
1647767,1648922
1647767,1648941
1647767,2088347
1647767,2087669
1647767,1647927
1647767,1648483
1647767,1647788
1647767,1648208
1647767,2087759
1647767,1649251
1647768,2087689
1647768,2087527
1647768,2087429
1647768,1648415
1647768,1647658
1647768,2087937
1647782,2087417
1647782,1648422
1647785,1648397
1647785,1648194
1647785,1649204
1647786,1649213
1647790,1648246
1647790,1648385
1647790,2088347
1647790,2087405
1647790,2087361
1647790,2087414
1647790,2087751
1647790,2087392
1647790,2087638
1647790,1648922
1647790,1648208
1647790,1648393
1647790,1648486
1647790,1648981
1647790,1648612
1647790,1648419
1647790,1647890
1647790,2087515
1647794,1648406
1647798,1649213
1647803,1648410
1647803,1647652
1647803,1648549
1647803,1648409
1647803,1647837
1647803,1648787
1647803,1649007
1647803,1648192
1647803,1648652
1647803,1647729
1647803,1647880
1647803,1648938
1647803,1649141
1647803,1648623
1647803,1649151
1647803,1648510
1647803,1649132
1647803,1648079
1647803,1648341
1647803,1648747
1647803,1648551
1647803,1648806
1647803,1649235
1647803,1648564
1647803,1648043
1647803,1647692
1647803,1648344
1647803,1647709
1647804,1649252
1647804,1648412
1647804,1648722
1647804,2088347
1647804,2087420
