source,target
2088454,2089204
2088454,2089204
2088455,2113773
2088455,2091261
2088455,2089872
2088455,2089200
2088455,2091595
2088455,2129332
2088455,2089413
2088455,2089988
2088455,2088464
2088455,2090657
2088455,2089413
2088455,2089988
2088457,2089151
2088457,2089418
2088457,2089189
2088457,2089418
2088457,2091596
2088461,2129332
2088461,2088462
2088461,2089147
2088462,2089429
2088462,2128929
2088462,2089147
2088464,2090657
2088464,2089429
2088464,2091261
2088464,2089872
2088464,2089200
2088464,2091678
2088464,2091595
2088464,2129431
2088464,2128929
2088464,2089422
2088464,2089908
2088464,2090135
2088464,2090589
2088464,2091127
2088464,2090657
2088464,2089908
2088464,2090589
2088464,2091127
2088475,2091107
2088475,2090142
2088475,2091024
2088475,2089795
2088475,2089189
2088475,2089079
2088475,2090359
2088475,2089875
2088475,2088773
2088475,2089707
2088475,2089423
2088475,2091107
2088475,2089423
2088475,2089872
2088492,2091010
2088492,2089469
2088492,2089900
2088492,2090585
2088492,2089429
2088492,2091045
2088492,2088837
2088492,2088751
2088492,2091010
2088492,2090990
2088492,2089414
2088492,2120712
2088492,2121145
2088492,2120044
2088492,2120292
2088492,2122510
2088492,2128929
2088492,2089409
2088492,2089693
2088492,2089693
2088509,2091681
2088509,2089469
2088509,2089900
2088509,2091681
2088514,2091754
2088514,2122860
2088514,2089429
2088514,2088588
2088514,2090137
2088514,2089414
2088514,2122860
2088514,2122297
2088514,2128929
2088514,2091754
2088514,2091058
2088514,2091705
2088521,2121077
2088521,2088846
2088521,2090271
2088521,2090382
2088521,2091243
2088521,2090378
2088521,2089891
2088521,2089429
2088521,2091060
2088521,2122006
2088521,2121077
2088521,2120568
2088521,2122907
2088521,2120388
2088521,2120148
2088521,2120479
2088521,2128929
2088521,2089906
2088521,2089779
2088523,2089429
2088523,2121805
2088523,2128929
2088534,2120683
2088534,2088896
2088534,2088750
2088534,2090392
2088534,2122894
2088534,2122849
2088534,2120683
2088534,2121257
2088534,2122841
2088534,2121365
2088534,2123779
2088534,2120996
2088534,2089158
2088534,2090364
2088540,2129274
2088567,2120517
2088567,2088895
2088567,2120517
2088567,2122014
2088574,2122338
2088574,2121540
2088574,2124115
2088574,2120958
2088574,2089874
2088574,2089012
2088574,2089012
2088574,2124115
2088578,2091718
2088578,2091718
2088579,2091718
2088579,2091718
2088589,2089207
2088589,2089157
2088589,2091483
2088589,2089207
2088599,2090932
2088608,2123755
2088608,2089902
2088608,2088588
2088608,2089783
2088608,2091494
2088608,2090358
2088608,2089902
2088608,2088837
2088608,2088730
2088608,2090369
2088608,2088651
2088608,2123540
2088608,2123755
2088608,2122406
2088608,2121428
2088608,2089205
2088608,2089205
2088618,2089469
2088618,2089469
2088619,2128891
2088619,2089984
2088620,2089469
2088620,2089469
2088620,2091578
2088629,2090860
2088629,2089469
2088629,2089429
2088629,2091681
2088629,2088837
2088629,2088751
2088629,2089367
2088629,2090990
2088629,2090860
2088629,2089035
2088629,2122458
2088629,2120292
2088629,2128891
2088629,2128929
2088629,2089206
2088629,2089206
2088647,2091277
2088647,2090659
2088647,2091048
2088647,2089892
2088647,2089060
2088647,2090387
2088647,2089079
2088647,2090387
2088651,2089429
2088651,2089203
2088651,2091016
2088651,2090656
2088651,2089133
2088651,2090358
2088651,2088837
2088651,2121412
2088651,2123537
2088651,2120411
2088651,2124059
2088651,2120630
2088651,2122902
2088651,2089203
2088651,2089722
2088651,2089880
2088651,2090656
2088651,2089897
2088651,2121263
2088651,2089880
2088651,2090660
2088651,2090348
2088665,2089036
2088665,2089469
2088665,2090585
2088665,2088837
2088665,2120292
2088665,2122835
2088665,2089208
2088665,2089036
2088665,2089208
2088665,2090990
2088666,2090090
2088666,2090941
2088666,2091494
2088666,2090941
2088666,2124079
2088666,2121802
2088666,2121487
2088666,2121591
2088666,2128891
2088666,2090090
