source,target
1548,714954
1559,714822
1561,716939
1561,4615
1561,715426
1561,718157
2729,4315
2729,714668
2730,5423
2730,715698
2730,4091
2730,714748
2730,714163
2730,716909
2730,715873
2730,716566
2731,716251
2732,2764
2732,716190
2732,715005
2732,4786
2732,4641
2732,4716
2732,714859
2732,718344
2732,715981
2732,5407
2732,718888
2732,715569
2732,717247
2733,715157
2733,5132
2733,716917
2733,717181
2733,5214
2733,714079
2733,717176
2733,4362
2733,716242
2733,714931
2733,715149
2733,717169
2735,715832
2735,717386
2736,4557
2736,714852
2736,4616
2736,4150
2736,4331
2736,716566
2736,715094
2737,4150
2738,718491
2739,714801
2739,716270
2739,715738
2739,717480
2739,717610
2742,716792
2743,714643
2743,718888
2743,715569
2743,717634
2743,715610
2743,715832
2743,5240
2743,717942
2743,716354
2744,4123
2745,718161
2745,718937
2745,716892
2746,718650
2746,5019
2747,4491
2747,4190
2747,4825
2747,716566
2747,5019
2748,717456
2748,4551
2750,714787
2751,4789
2752,715435
2752,715866
2752,4716
2753,717456
2753,4551
2754,717008
2755,2732
2755,716190
2755,714080
2756,715569
2756,717052
2756,4457
2756,4491
2756,5033
2756,716257
2756,4190
2756,717147
2756,716566
2756,5019
2758,718792
2758,715407
2758,718888
2758,715569
2758,2750
2758,5429
2758,715148
2758,715162
2758,5422
2758,717156
2758,714787
2758,714079
2758,717176
2758,714931
2758,715433
2758,4761
2758,714139
2758,4745
2758,5326
2760,718857
2761,714182
2761,718888
2761,715569
2761,714643
2761,717770
2761,718134
2761,714823
2761,5299
2761,715610
2761,715832
2761,718024
2761,5240
2761,717942
2761,717409
2761,717794
2762,717582
2762,717774
2763,715965
2793,718406
2793,716653
2793,715832
2793,718024
2793,5240
2793,717942
2793,718698
2797,714188
2797,4716
2797,714748
2797,717054
2797,714534
2797,717021
2797,4958
2797,4597
2797,716268
2797,716286
2797,5417
2797,4825
2797,714079
2797,717176
2797,714931
2797,715433
2797,714139
2797,717582
2797,4315
2830,4716
2830,718350
2830,718650
2830,717094
2830,716190
2830,714940
2830,714656
2830,4084
4080,4535
4080,4673
4080,4136
4080,718888
4080,715569
4080,4552
4081,715408
4081,5270
4081,5106
4081,4106
4081,717480
4081,717696
4081,4809
4082,718390
4082,716175
4084,718650
4084,716190
4084,714940
4085,714185
4085,718539
4085,715547
4086,5129
4087,4654
4087,4716
4087,718803
4087,4664
4087,718350
4087,718888
4087,715569
4088,718658
4088,716445
4088,714394
4088,716611
4089,717608
4089,715407
4089,4716
4089,4143
4089,715439
4089,714822
4089,4457
4089,4095
4089,716660
4089,717902
4089,5034
4089,716980
4089,715923
4089,716484
4089,717778
4089,716024
4089,716606
4089,4190
4089,715899
4089,718067
4089,714929
4089,716748
4089,718597
4089,715258
4089,714216
4089,4147
4089,716566
4089,4827
4089,714079
4089,717176
4089,718945
4089,4198
4089,714931
4089,715433
4089,718626
4089,5326
4090,718888
4090,715569
4091,715698
4091,715569
4091,4716
4091,714199
4091,715873
4091,717952
4092,715233
4092,4716
4092,5046
4092,4720
4092,717616
4092,717028
4092,714079
4094,717777
4094,714778
4094,717411
4094,716411
4094,4716
4094,717902
4094,718888
4094,715569
4094,714268
4094,715832
4094,717942
4094,717282
4094,717386
4094,5013
4094,714929
4094,718242
4094,715873
4094,714216
4094,4147
4094,4114
4096,5053
4096,4150
4096,718650
4096,4375
4096,4491
4096,717586
4096,715233
4096,715899
4096,716566
4096,714079
4096,717176
4096,5326
4096,718925
4096,718573
4096,714931
4096,5019
4097,717006
4098,714675
4099,717854
4099,4716
4099,4885
4099,718166
4099,718658
4099,716378
4099,4124
4100,714133
4103,715161
4103,715547
4103,4085
4103,716668
4104,2755
4104,714878
4104,4128
4104,4815
4104,718888
4104,715569
4104,714290
4104,716980
4105,714836
4105,715413
4105,718292
4105,717157
4105,4530
4105,714160
4105,5176
4105,5063
4105,718805
4107,4716
4108,716270
4109,4491
4109,5053
4109,716566
4109,714079
4109,717176
4109,5326
4109,714931
4109,5019
4110,718650
4110,5019
4111,718292
4111,714160
4111,717157
4111,4530
4111,5176
4111,714142
4111,718805
4111,716977
4113,4578
4113,715691
4113,716663
4113,717409
4113,715606
4113,4513
4113,4697
4113,715033
4113,715737
4113,717467
4113,4893
4113,716151
4113,716230
4113,714197
4113,717248
4113,715320
4113,715832
4113,716862
4113,717942
4114,717411
4114,4792
4114,714199
4114,718888
4114,715569
4114,714268
4114,717152
4114,714778
4114,4919
4114,714587
4114,5005
4114,715873
4114,716566
4114,5242
4114,5013
4114,717282
4115,4186
4115,717095
4115,4716
4115,4999
4115,4780
4116,4336
4116,717176
4116,5256
4117,4560
4120,717285
4120,5191
4120,4491
4120,716566
4120,714079
4120,717176
4120,5326
4120,714931
4120,717456
4121,718888
4121,715569
4121,715926
4121,714643
4121,717634
4121,714383
4121,4513
4121,714823
4121,5299
4121,718406
4121,4344
4121,715610
4121,715832
4121,718024
4121,718698
4121,5240
4121,717942
4121,2793
4123,717088
4124,718595
4124,4716
4124,716972
4124,718888
4124,715569
4124,4885
4124,718658
4124,716378
4124,718758
4124,718858
4125,4729
4126,717144
4127,718888
4127,715569
4127,715233
4127,714433
4127,714931
4127,714312
4128,714656
4128,714375
4128,4192
4128,716184
4128,716965
4128,714080
4128,717742
4128,718886
4128,4716
4128,715811
4128,4815
4128,718400
4128,714702
4128,4852
4128,5435
4128,4960
4128,714165
4128,714107
4128,716279
4128,714199
4128,716516
4128,717902
4128,718888
4128,715569
4128,4339
4129,714846
4129,5019
4130,715148
4130,714787
4130,714079
4130,717176
4130,714931
4130,4761
4130,714792
4130,5326
4131,718128
4131,718888
4131,715569
4132,716075
4132,718650
4132,716452
4132,5155
4132,4491
4132,716566
4132,5019
4133,718888
4133,715569
4133,716874
4133,715830
4133,717610
4133,716621
4134,717487
4135,4576
4135,4680
4136,4543
4136,4453
4136,5396
4136,4673
4136,4524
4136,4167
4136,4468
4136,5380
4136,5373
4136,4535
4136,4656
4136,718888
4136,715569
4137,717695
4137,716607
4137,715403
4137,714862
4138,5402
4138,4680
4139,714509
4140,4684
4140,4673
4140,4576
4141,4630
4141,5402
4141,4680
4142,4564
4143,717413
4143,715439
4143,714822
4143,4716
4143,4359
4143,718888
4143,715569
4144,4684
4144,4673
4144,4576
4145,714394
4145,716445
4145,718658
4145,718640
4147,716748
4147,4827
4150,4909
4150,717892
4155,4684
4155,4539
4155,4656
4155,4576
4159,717695
4159,715403
4159,714862
4162,718572
4162,716228
4162,5053
4162,715258
4164,4318
4164,718888
4164,715569
4167,4535
4167,4136
4167,4673
4171,715439
4171,717257
4171,716073
4171,716479
4171,4143
4171,718650
4171,4491
4171,715899
4171,716566
4171,5019
4173,715891
4173,4693
4173,4716
4173,4457
4173,716279
4173,4909
4173,717902
4173,718888
4173,715569
4173,718852
4173,718242
4173,715873
4173,4720
4173,716566
4173,715433
4173,5005
4173,718790
4174,715737
4174,4121
4174,718888
4174,715569
4174,716663
4174,715320
4174,5442
4174,715832
4174,717942
4175,5280
4175,5319
4175,718766
4175,4716
4175,717468
4175,715981
4175,717902
4175,716677
4175,715233
4175,714433
4175,718379
4175,715873
4175,4720
4175,716566
4175,4827
4175,714079
4175,718945
4175,714931
4175,718646
4175,714139
4175,717582
4175,5225
4176,716774
4176,715422
4176,717141
4176,718491
4176,716031
4176,717695
4176,714126
4176,718694
4176,715403
4176,714862
4177,715433
4178,718336
4178,4716
4179,715569
4179,716552
4179,714133
4179,4100
4179,717266
4179,4716
4179,717154
4179,717426
4179,718921
4179,5002
4179,4852
4179,714080
4179,716690
4179,714501
4179,4908
4180,714298
4180,718325
4180,718448
4180,4491
4180,4315
4180,716566
4180,4885
4180,718138
4180,716973
4181,715233
4181,714433
4181,714216
4181,714931
4181,5225
4182,714846
4182,718926
4182,5046
4182,5141
4183,717942
4183,5240
4183,718024
4183,715832
4183,715694
4185,718595
4185,4716
4185,717088
4185,4123
4186,4115
4186,718113
4186,715892
4186,714853
4186,717195
4186,717092
4186,718255
4186,718158
4186,714676
4186,716768
4186,717095
4186,4716
4186,717468
4186,4780
4186,715253
4186,2751
4186,714053
4186,4789
4186,717902
4186,718888
4186,715569
4186,718390
4186,5437
4186,5053
4186,715899
4186,718597
4186,718242
4186,715873
4186,4827
4187,716022
4187,715233
4187,714433
4187,2732
4187,716190
4187,715899
4187,4716
4187,714080
4187,714375
4187,714082
4187,5410
4187,715981
4187,718350
4187,4662
4187,718650
4187,5407
4187,717902
4187,718888
4187,715569
4187,2764
4187,716268
4187,4366
4187,716484
4187,714746
4187,5086
4187,718067
4187,714216
4187,716566
4187,715759
4187,714079
4187,717247
4187,714137
4187,714931
4187,714139
4187,4346
4187,2755
4188,714188
4188,715335
4189,717976
4190,4716
4190,717038
4190,4940
4190,717902
4190,718888
4190,715569
4190,714490
4190,716024
4190,4693
4190,4919
4190,4631
