source,target
4153,1335617
4153,1335166
4153,1334848
4153,1334300
4153,1346507
4153,1333934
4153,1346867
4153,1339238
4153,5018
4153,1338027
4153,1336266
4153,1343867
4153,1341458
4153,1347634
4153,1346507
4153,1332711
4153,1333287
4153,1333614
4153,1333972
4153,1334300
4153,1334848
4153,1335166
4153,1335617
4153,1332711
4153,1333614
4169,1346507
4169,1343867
4169,1338027
4169,1341222
4169,1338124
4169,1347634
4169,1346507
4169,1342917
4169,1332717
4169,1344862
4169,1332717
4209,1335163
4209,1348635
4209,1342984
4209,1335955
4209,1338137
4209,1342397
4209,1332712
4209,1333233
4209,1333233
4209,1332712
4225,1333666
4225,1336834
4225,1335082
4225,1340140
4225,1344271
4225,1338678
4225,1347998
4225,1332705
4225,4826
4225,1340057
4225,1343906
4225,1335299
4225,1333934
4225,1339238
4225,5018
4225,1339461
4225,1340178
4225,1334840
4225,1337473
4225,4826
4225,1342154
4225,1342835
4225,1343557
4225,1338756
4225,1345894
4225,1342604
4225,1332705
4225,1345178
4225,1332710
4225,1333229
4225,1341352
4225,1333229
4225,1332710
4235,1346757
4235,1346757
4235,1343851
4235,1346613
4235,1334883
4235,1345769
4244,1333321
4244,1332708
4244,1333321
4244,1332708
4258,1335299
4258,1338535
4258,1340181
4258,1338027
4258,1348121
4258,1333101
4258,1334796
4258,1336806
4258,1348284
4258,1332706
4258,1333286
4258,1332706
4258,1343048
4258,1343497
4258,1333286
4272,1340601
4272,1342720
4272,1333752
4272,1340601
4272,1333138
4272,1335611
4272,1343497
4272,1335677
4284,4272
4284,1345294
4284,1335976
4294,1343909
4294,1342902
4294,1346849
4294,1341153
4294,1335976
4294,1343909
4294,1342103
4294,1333752
4294,1333138
4294,1335611
4294,1343497
4294,1332703
4294,1333292
4294,1342902
4294,1333292
4294,1332703
4299,1333138
4306,1343788
4306,1347966
4306,1343788
4383,1340146
4387,1336946
4387,1346507
4387,1347634
4387,1348576
4387,1346507
4408,1335821
4408,1342821
4408,1342821
4409,1335691
4409,1335163
4409,1344174
4409,1334303
4409,1340058
4409,1332684
4409,1334842
4429,1335167
4429,1335167
4429,1342486
4448,1337461
4449,1340256
4449,1346578
4449,1340370
4449,1340803
4449,1335690
4449,1334303
4449,1344174
4449,1340180
4449,1335058
4449,1340058
4449,1332684
4449,1334842
4450,1336291
4450,1332582
4450,1337279
4450,1336849
4450,1336291
4450,1348496
4450,1337279
4450,1336849
4450,1348496
4450,1345996
4450,1338123
4450,1339461
4450,1341426
4450,1334840
4450,1340073
4450,1341488
4450,1343062
4450,1340195
4450,1346293
4450,1343562
4450,4826
4450,1342154
4450,1342835
4450,1338027
4450,1344862
4450,1347634
4450,1347998
4450,1336576
4450,1332582
4450,1332883
4450,1333107
4450,1333332
4450,1333926
4450,1334290
4450,1334841
4450,1335297
4450,1335822
4455,1334799
4455,1347675
4455,1334799
4465,1347930
4465,1347930
4471,1342556
4471,713845
4471,1342006
4471,1336358
4488,1339138
4510,1346543
4510,1333777
4510,1334900
4510,1333323
4510,1338027
4510,1338960
4510,1332654
4510,1347959
4510,1346543
4510,1333777
4512,5211
4512,1348284
4540,1334854
4540,1332580
4540,1335299
4540,1342930
4540,1342930
4566,1342930
4566,1335299
4566,1338027
4566,1336131
4566,4510
4566,1337446
4566,5374
4566,1332584
4566,1333227
4566,1332584
4566,1341709
4568,1346578
4568,1340058
4568,1335163
4568,1335578
4568,1335690
4568,1337031
4568,1346578
4568,1348251
4568,1346033
4568,1340361
4568,1334319
4568,1332763
4568,1339138
4568,1344610
4607,1332800
4607,1332586
4607,1332800
4607,1332586
4607,1340600
4607,1347058
4607,1333934
4638,1336790
4638,1345057
4638,1332906
4638,1344875
4638,1333387
4638,1336790
4651,1334241
4657,1338847
4657,1338960
4657,1336131
4657,1341678
4657,4510
4657,1338960
4657,1338847
4657,1345894
4695,1335578
4695,1335578
4705,1343180
4705,1338419
4705,1347930
4705,1344423
4705,1336544
4705,1332802
4705,1336131
4705,1341678
4705,1342589
4705,1338419
4705,1336266
4705,1339480
4705,1348215
4705,1343180
4705,1335611
4705,1343497
4705,1345894
4759,1334591
4790,1334593
4826,1343562
4826,1334840
4826,1343562
4826,1342835
4839,1338720
4839,1345894
4839,1341424
4839,1343497
4839,1335611
4839,1347195
4839,1341424
4860,1334625
4860,1334625
4863,1338146
4863,1338027
4863,4465
4863,1342589
4863,1338419
4863,1348576
4863,1334986
4863,1338445
4863,1335611
4863,1343497
4863,1345894
4863,1338146
4863,1346289
4863,1345282
4863,1338720
4863,1341221
4867,1340639
4867,1345238
4867,1335299
4881,1343971
4881,1333131
4881,1334251
4881,1336818
4881,1343971
4881,1342917
4881,1333131
4887,1335872
4887,1340361
4887,1335163
4887,1335872
4892,1341250
4892,1335823
4892,1338027
4892,1334992
4892,1333942
4892,1342365
4892,1341250
4892,1348514
4892,1338501
4898,1340699
4898,1336131
4898,4510
4898,1348287
4898,1340699
4931,1333934
4931,1347517
4931,1336927
4935,1340129
4935,1341239
4935,1340068
4935,1346507
4935,1338124
4935,1338960
4935,4510
4935,1340068
4969,1332543
4969,1332543
4969,1345769
4969,1336697
5008,1334152
5008,1342937
5008,1334840
5008,1341488
5008,1346293
5008,1338756
5008,1334152
5008,1345178
5018,1347517
5018,1340181
5018,1347517
5076,1332446
5076,1345894
5128,1344138
5128,1343261
5128,1344138
5130,1340545
5130,1338917
5130,1347966
5163,1347605
5163,1335976
5163,1334225
5163,1347605
5163,1332656
5163,1332539
5166,1343261
5166,1344138
5166,1335202
5198,1346507
5198,1339238
5198,1338027
5198,1339997
5198,1341458
5198,1347634
5198,1346507
5198,1335830
5198,1342917
5198,1333915
5198,1333936
5198,1334137
5198,1345453
5198,1332423
5198,1334232
5198,1332423
5282,1338550
5282,1338901
5282,1333335
5282,1338550
5282,1343490
5282,1347032
5337,1340180
5337,1340180
5337,1344143
5337,1340058
5337,1333679
5337,1335163
5337,1337031
5342,5018
5342,1339238
5342,1346867
5342,1339870
5342,1344751
5342,1333934
5342,1346867
5353,1333348
5353,1332401
5353,1332732
5353,1336070
5353,1333693
5353,1339520
5353,1344400
5353,1333616
5353,1335312
5353,1346985
5353,1346265
5353,1335611
5353,1340873
5353,1338185
5353,4422
5353,1345190
5353,1348403
5353,1343343
5353,1345894
5353,1336038
5353,5405
5353,1338053
5353,1337176
5353,1337842
5353,1332732
5353,1335881
5353,1348160
5365,1335611
5365,1348613
5365,1345164
5365,1336797
5365,1347528
5365,1337035
5365,1335575
5365,1343497
5365,1347787
5365,1345894
5365,1343343
5371,1340990
5371,1338695
5374,1338027
5374,1342930
5374,1335299
5374,1339453
5374,1336927
5374,1348589
5374,1345670
5374,1337268
5374,1335823
5374,1348726
5374,1347930
5374,1346170
5374,1338027
5374,1336131
5374,1345642
5374,1341678
5374,1346485
5374,1334992
5374,1339006
5374,1339190
5374,1343954
5374,4510
5374,1341222
5374,1333101
5374,1334796
5374,1347195
5374,1335611
5374,1343497
5374,1338756
5374,1337941
5374,1344898
5374,1344436
5374,1345625
5374,1333941
5374,1333936
5374,1345453
5374,1338605
5377,1343497
5377,1335611
5378,1348496
5378,1338123
5378,1341426
5378,1346293
5378,1343562
5378,1338027
