A->B | () False
A->B | ('F',) False
A->B | ('F', 'P') False
A->B | ('F', 'P', 'Q') False
A->B | ('F', 'P', 'Q', 'X') True
A->B | ('F', 'P', 'Q', 'X', 'Y') True
A->B | ('F', 'P', 'Q', 'Y') False
A->B | ('F', 'P', 'X') True
A->B | ('F', 'P', 'X', 'Y') True
A->B | ('F', 'P', 'Y') False
A->B | ('F', 'Q') False
A->B | ('F', 'Q', 'X') True
A->B | ('F', 'Q', 'X', 'Y') True
A->B | ('F', 'Q', 'Y') False
A->B | ('F', 'X') True
A->B | ('F', 'X', 'Y') True
A->B | ('F', 'Y') False
A->B | ('P',) False
A->B | ('P', 'Q') False
A->B | ('P', 'Q', 'X') True
A->B | ('P', 'Q', 'X', 'Y') True
A->B | ('P', 'Q', 'Y') False
A->B | ('P', 'X') True
A->B | ('P', 'X', 'Y') True
A->B | ('P', 'Y') False
A->B | ('Q',) False
A->B | ('Q', 'X') True
A->B | ('Q', 'X', 'Y') True
A->B | ('Q', 'Y') False
A->B | ('X',) True
A->B | ('X', 'Y') True
A->B | ('Y',) False
A->F | () False
A->F | ('B',) True
A->F | ('B', 'P') True
A->F | ('B', 'P', 'Q') True
A->F | ('B', 'P', 'Q', 'X') True
A->F | ('B', 'P', 'Q', 'X', 'Y') True
A->F | ('B', 'P', 'Q', 'Y') True
A->F | ('B', 'P', 'X') True
A->F | ('B', 'P', 'X', 'Y') True
A->F | ('B', 'P', 'Y') True
A->F | ('B', 'Q') True
A->F | ('B', 'Q', 'X') True
A->F | ('B', 'Q', 'X', 'Y') True
A->F | ('B', 'Q', 'Y') True
A->F | ('B', 'X') True
A->F | ('B', 'X', 'Y') True
A->F | ('B', 'Y') True
A->F | ('P',) False
A->F | ('P', 'Q') False
A->F | ('P', 'Q', 'X') True
A->F | ('P', 'Q', 'X', 'Y') True
A->F | ('P', 'Q', 'Y') False
A->F | ('P', 'X') True
A->F | ('P', 'X', 'Y') True
A->F | ('P', 'Y') False
A->F | ('Q',) False
A->F | ('Q', 'X') True
A->F | ('Q', 'X', 'Y') True
A->F | ('Q', 'Y') False
A->F | ('X',) True
A->F | ('X', 'Y') True
A->F | ('Y',) False
A->P | () False
A->P | ('B',) False
A->P | ('B', 'F') False
A->P | ('B', 'F', 'Q') False
A->P | ('B', 'F', 'Q', 'X') True
A->P | ('B', 'F', 'Q', 'X', 'Y') True
A->P | ('B', 'F', 'Q', 'Y') False
A->P | ('B', 'F', 'X') True
A->P | ('B', 'F', 'X', 'Y') True
A->P | ('B', 'F', 'Y') False
A->P | ('B', 'Q') False
A->P | ('B', 'Q', 'X') True
A->P | ('B', 'Q', 'X', 'Y') True
A->P | ('B', 'Q', 'Y') False
A->P | ('B', 'X') True
A->P | ('B', 'X', 'Y') True
A->P | ('B', 'Y') False
A->P | ('F',) False
A->P | ('F', 'Q') False
A->P | ('F', 'Q', 'X') True
A->P | ('F', 'Q', 'X', 'Y') True
A->P | ('F', 'Q', 'Y') False
A->P | ('F', 'X') True
A->P | ('F', 'X', 'Y') True
A->P | ('F', 'Y') False
A->P | ('Q',) False
A->P | ('Q', 'X') True
A->P | ('Q', 'X', 'Y') True
A->P | ('Q', 'Y') False
A->P | ('X',) True
A->P | ('X', 'Y') True
A->P | ('Y',) False
A->Q | () False
A->Q | ('B',) False
