iter	Passed	Remaining
0	143	143632
1	145	72367
2	145	48464
3	147	36614
4	147	29402
5	148	24670
6	150	21315
7	151	18775
8	152	16796
9	153	15216
10	154	13892
11	154	12754
12	156	11847
13	156	11047
14	157	10372
15	159	9779
16	160	9271
17	161	8799
18	162	8392
19	163	8026
20	164	7689
21	165	7362
22	166	7084
23	167	6802
24	168	6581
25	169	6368
26	170	6162
27	172	5980
28	173	5810
29	174	5652
30	175	5495
31	177	5356
32	178	5223
33	179	5101
34	180	4985
35	181	4867
36	183	4764
37	184	4667
38	185	4560
39	186	4471
40	187	4386
41	188	4306
42	189	4223
43	190	4139
44	191	4070
45	192	4002
46	194	3939
47	195	3879
48	196	3816
49	197	3755
50	198	3692
51	199	3640
52	200	3585
53	201	3537
54	203	3492
55	204	3449
56	205	3407
57	206	3356
58	208	3317
59	208	3273
60	209	3228
61	211	3196
62	211	3152
63	213	3117
64	214	3084
65	215	3043
66	216	3011
67	217	2980
68	218	2951
69	219	2919
70	220	2887
71	221	2860
72	222	2827
73	223	2802
74	225	2780
75	226	2751
76	227	2727
77	228	2704
78	229	2680
79	231	2657
80	232	2635
81	233	2613
82	234	2588
83	235	2568
84	236	2548
85	237	2529
86	239	2513
87	240	2495
88	241	2476
89	242	2453
90	243	2430
91	244	2415
92	245	2395
93	246	2374
94	247	2353
95	248	2337
96	249	2320
97	250	2305
98	251	2292
99	253	2279
100	254	2265
101	255	2251
102	256	2234
103	257	2216
104	257	2198
105	259	2185
106	260	2171
107	261	2158
108	262	2146
109	263	2134
110	265	2122
111	266	2111
112	267	2102
113	268	2087
114	269	2072
115	270	2062
116	271	2052
117	272	2038
118	273	2028
119	275	2018
120	276	2007
121	277	1993
122	278	1984
123	279	1976
124	281	1967
125	282	1959
126	283	1948
127	284	1938
128	285	1926
129	286	1918
130	287	1907
131	288	1900
132	290	1892
133	291	1885
134	293	1877
135	293	1866
136	295	1859
137	296	1853
138	297	1845
139	298	1833
140	299	1826
141	300	1816
142	301	1808
143	303	1801
144	304	1794
145	305	1787
146	306	1779
147	307	1772
148	309	1765
149	309	1754
150	310	1744
151	311	1736
152	312	1729
153	313	1723
154	314	1716
155	315	1709
156	316	1700
157	317	1694
158	318	1686
159	319	1676
160	320	1670
161	321	1663
162	322	1657
163	324	1653
164	326	1651
165	327	1645
166	328	1640
167	329	1632
168	330	1624
169	331	1619
170	333	1614
171	334	1608
172	334	1600
173	335	1593
174	337	1588
175	338	1584
176	340	1581
177	341	1576
178	342	1572
179	343	1566
180	345	1562
181	346	1557
182	347	1551
183	348	1546
184	349	1541
185	351	1536
186	352	1530
187	354	1532
188	355	1527
189	357	1522
190	358	1516
191	359	1511
192	360	1506
193	361	1502
194	362	1497
195	363	1492
196	364	1487
197	365	1480
198	367	1477
199	368	1473
200	369	1469
201	371	1465
202	372	1460
203	373	1456
204	373	1450
205	375	1446
206	376	1442
207	377	1438
208	379	1434
209	380	1430
210	381	1427
211	382	1423
212	384	1419
213	385	1415
214	386	1410
215	387	1406
216	388	1402
217	389	1398
218	391	1394
219	392	1390
220	393	1387
221	394	1383
222	396	1380
223	397	1376
224	398	1372
225	399	1369
226	401	1365
227	402	1361
228	403	1358
229	404	1355
230	406	1351
231	407	1348
232	408	1344
233	409	1341
234	411	1338
235	412	1334
236	413	1330
237	414	1327
238	415	1323
239	416	1319
240	417	1316
241	419	1312
242	420	1309
243	421	1305
244	422	1302
245	423	1299
246	425	1296
247	426	1293
248	427	1289
249	428	1286
250	429	1283
251	431	1279
252	432	1275
253	433	1272
254	434	1268
255	435	1265
256	436	1262
257	437	1258
258	439	1256
259	440	1253
260	441	1250
261	442	1246
262	443	1243
263	444	1240
264	446	1237
265	447	1234
266	448	1232
267	450	1229
268	451	1226
269	452	1223
270	453	1220
271	454	1217
272	456	1214
273	457	1211
274	458	1208
275	459	1205
276	460	1202
277	461	1199
278	463	1197
279	464	1194
280	465	1191
281	466	1188
282	468	1186
283	469	1183
284	470	1180
285	471	1177
286	472	1174
287	473	1171
288	475	1169
289	476	1166
290	477	1163
291	478	1160
292	480	1158
293	481	1155
294	482	1152
295	483	1150
296	484	1147
297	486	1145
298	487	1143
299	488	1140
300	490	1138
301	491	1135
302	492	1133
303	493	1130
304	495	1128
305	496	1126
306	497	1123
307	498	1121
308	500	1118
309	501	1115
310	502	1113
311	503	1110
312	505	1108
313	506	1106
314	507	1103
315	508	1100
316	509	1098
317	511	1096
318	512	1093
319	513	1091
320	514	1088
321	516	1086
322	517	1084
323	518	1081
324	519	1079
325	520	1076
326	521	1074
327	523	1071
328	524	1069
329	525	1067
330	526	1064
331	528	1062
332	529	1060
333	530	1058
334	531	1055
335	533	1053
336	534	1050
337	535	1048
338	536	1046
339	537	1043
340	539	1041
341	540	1039
342	541	1037
343	542	1035
344	543	1032
345	545	1030
346	546	1027
347	547	1025
348	548	1023
349	549	1020
350	551	1018
351	552	1016
352	553	1014
353	554	1012
354	556	1010
355	557	1008
356	558	1006
357	560	1004
358	561	1002
359	562	1000
360	563	997
361	565	995
362	566	993
363	567	991
364	569	990
365	570	988
366	571	986
367	573	984
368	574	982
369	575	980
370	576	977
371	577	975
372	579	973
373	580	971
374	581	969
375	582	967
376	584	965
377	585	964
378	587	962
379	588	960
380	589	957
381	590	955
382	592	953
383	593	951
384	594	949
385	595	947
386	597	946
387	598	944
388	599	942
389	601	940
390	602	938
391	603	936
392	604	934
393	606	932
394	607	930
395	608	928
396	609	926
397	610	924
398	612	922
399	613	920
400	615	918
401	616	917
402	617	915
403	618	913
404	620	911
405	621	909
406	622	907
407	623	905
408	625	903
409	626	901
410	627	899
411	629	898
412	630	896
413	631	894
414	633	892
415	634	890
416	635	888
417	636	886
418	638	884
419	639	882
420	640	880
421	642	879
422	643	877
423	644	875
424	645	873
425	647	871
426	648	870
427	649	868
428	650	866
429	652	864
430	653	862
431	654	861
432	656	859
433	657	857
434	658	855
435	660	853
436	661	852
437	662	850
438	663	848
439	665	846
440	666	844
441	667	843
442	669	841
443	670	839
444	672	838
445	673	836
446	674	834
447	676	833
448	677	831
449	678	829
450	680	828
451	681	826
452	683	825
453	684	823
454	686	821
455	687	820
456	688	818
457	690	817
458	691	815
459	693	813
460	694	812
461	696	810
462	697	809
463	699	807
464	700	806
465	701	804
466	703	802
467	704	801
468	706	799
469	707	797
470	708	796
471	710	794
472	711	792
473	712	790
474	714	790
475	716	788
476	717	786
477	718	785
478	720	783
479	721	781
480	722	779
481	724	778
482	725	776
483	726	774
484	727	772
485	729	771
486	730	769
487	731	767
488	733	766
489	734	764
490	735	762
491	737	761
492	738	759
493	739	757
494	741	756
495	742	754
496	743	752
497	744	750
498	746	749
499	747	747
500	748	745
501	749	743
502	751	742
503	752	740
504	753	738
505	754	736
506	756	735
507	757	733
508	758	732
509	760	730
510	761	728
511	762	726
512	764	725
513	765	723
514	766	721
515	767	720
516	769	718
517	770	716
518	771	714
519	772	713
520	773	711
521	775	709
522	776	708
523	777	706
524	779	704
525	780	703
526	781	701
527	783	699
528	784	698
529	785	696
530	787	695
531	788	693
532	789	691
533	791	690
534	792	688
535	793	687
536	794	685
537	796	683
538	797	681
539	798	680
540	799	678
541	801	677
542	802	675
543	804	674
544	805	672
545	806	670
546	808	669
547	809	667
548	810	666
549	812	664
550	813	662
551	815	661
552	816	659
553	817	658
554	819	656
555	820	655
556	821	653
557	823	652
558	824	650
559	825	648
560	827	647
561	828	645
562	829	644
563	831	642
564	832	640
565	833	639
566	835	637
567	836	636
568	837	634
569	838	632
570	840	631
571	841	629
572	842	627
573	843	626
574	845	624
575	846	623
576	847	621
577	848	619
578	850	618
579	851	616
580	852	614
581	853	613
582	854	611
583	856	609
584	857	608
585	858	606
586	859	604
587	861	603
588	862	601
589	863	600
590	864	598
591	865	596
592	867	595
593	868	593
594	869	591
595	870	590
596	872	588
597	873	587
598	874	585
599	875	583
600	877	582
601	878	580
602	879	579
603	880	577
604	882	575
605	883	574
606	884	572
607	885	571
608	887	569
609	888	568
610	889	566
611	891	564
612	892	563
613	893	561
614	894	560
615	896	558
616	897	557
617	898	555
618	900	554
619	902	552
620	903	551
621	904	549
622	905	548
623	907	546
624	908	545
625	909	543
626	910	541
627	911	540
628	913	538
629	914	537
630	916	535
631	917	534
632	919	533
633	920	531
634	922	530
635	923	528
636	925	527
637	926	525
638	927	524
639	929	522
640	930	521
641	932	519
642	933	518
643	934	516
644	935	515
645	937	513
646	938	512
647	939	510
648	941	509
649	942	507
650	944	506
651	947	505
652	949	504
653	950	503
654	952	501
655	953	500
656	955	498
657	956	497
658	957	495
659	959	494
660	960	492
661	961	491
662	962	489
663	964	487
664	965	486
665	966	484
666	967	483
667	969	481
668	970	480
669	971	478
670	972	477
671	974	475
672	975	473
673	976	472
674	977	470
675	979	469
676	980	467
677	981	466
678	982	464
679	983	463
680	985	461
681	986	459
682	987	458
683	988	456
684	990	455
685	991	453
686	992	452
687	993	450
688	994	448
689	995	447
690	996	445
691	998	444
692	999	442
693	1000	441
694	1001	439
695	1002	438
696	1004	436
697	1005	434
698	1006	433
699	1007	431
700	1008	430
701	1010	428
702	1011	427
703	1012	425
704	1013	424
705	1014	422
706	1015	420
707	1016	419
708	1018	417
709	1019	416
710	1020	414
711	1021	413
712	1022	411
713	1023	410
714	1024	408
715	1025	406
716	1027	405
717	1028	403
718	1029	402
719	1030	400
720	1031	399
721	1033	397
722	1034	396
723	1035	394
724	1036	393
725	1038	391
726	1039	390
727	1040	388
728	1041	387
729	1042	385
730	1043	384
731	1045	382
732	1046	381
733	1047	379
734	1048	378
735	1049	376
736	1050	374
737	1051	373
738	1052	371
739	1054	370
740	1055	368
741	1056	367
742	1057	365
743	1058	364
744	1060	362
745	1061	361
746	1063	360
747	1064	358
748	1066	357
749	1067	355
750	1069	354
751	1070	352
752	1071	351
753	1072	349
754	1089	353
755	1091	352
756	1093	350
757	1094	349
758	1095	347
759	1096	346
760	1098	344
761	1099	343
762	1100	341
763	1101	340
764	1102	338
765	1104	337
766	1105	335
767	1106	334
768	1107	332
769	1109	331
770	1110	329
771	1111	328
772	1113	326
773	1115	325
774	1117	324
775	1118	322
776	1120	321
777	1121	320
778	1122	318
779	1123	316
780	1125	315
781	1126	313
782	1127	312
783	1128	310
784	1129	309
785	1130	307
786	1132	306
787	1134	305
788	1135	303
789	1136	302
790	1138	300
791	1139	299
792	1140	297
793	1142	296
794	1143	294
795	1144	293
796	1145	291
797	1146	290
798	1148	288
799	1149	287
800	1150	285
801	1151	284
802	1152	282
803	1154	281
804	1155	279
805	1156	278
806	1157	276
807	1158	275
808	1159	273
809	1161	272
810	1162	270
811	1163	269
812	1164	267
813	1165	266
814	1167	264
815	1168	263
816	1169	262
817	1170	260
818	1172	259
819	1173	257
820	1174	256
821	1176	254
822	1177	253
823	1178	251
824	1179	250
825	1180	248
826	1182	247
827	1183	245
828	1184	244
829	1185	242
830	1186	241
831	1188	239
832	1189	238
833	1190	236
834	1191	235
835	1192	234
836	1194	232
837	1195	231
838	1196	229
839	1197	228
840	1198	226
841	1200	225
842	1201	223
843	1202	222
844	1203	220
845	1205	219
846	1206	217
847	1207	216
848	1208	214
849	1209	213
850	1211	212
851	1212	210
852	1213	209
853	1215	207
854	1216	206
855	1217	204
856	1218	203
857	1220	201
858	1221	200
859	1222	199
860	1223	197
861	1224	196
862	1225	194
863	1227	193
864	1228	191
865	1229	190
866	1230	188
867	1231	187
868	1233	185
869	1234	184
870	1235	183
871	1236	181
872	1238	180
873	1239	178
874	1240	177
875	1241	175
876	1243	174
877	1244	172
878	1245	171
879	1246	170
880	1248	168
881	1249	167
882	1250	165
883	1251	164
884	1252	162
885	1254	161
886	1255	159
887	1256	158
888	1257	157
889	1259	155
890	1260	154
891	1261	152
892	1263	151
893	1264	149
894	1265	148
895	1266	147
896	1268	145
897	1269	144
898	1270	142
899	1271	141
900	1272	139
901	1274	138
902	1275	136
903	1277	135
904	1278	134
905	1279	132
906	1281	131
907	1282	129
908	1283	128
909	1284	127
910	1286	125
911	1287	124
912	1288	122
913	1290	121
914	1292	120
915	1293	118
916	1294	117
917	1296	115
918	1297	114
919	1298	112
920	1300	111
921	1301	110
922	1302	108
923	1303	107
924	1305	105
925	1306	104
926	1307	102
927	1309	101
928	1310	100
929	1311	98
930	1312	97
931	1314	95
932	1315	94
933	1316	93
934	1318	91
935	1319	90
936	1320	88
937	1322	87
938	1323	85
939	1324	84
940	1325	83
941	1327	81
942	1328	80
943	1329	78
944	1330	77
945	1332	76
946	1333	74
947	1334	73
948	1353	72
949	1354	71
950	1356	69
951	1357	68
952	1359	67
953	1360	65
954	1361	64
955	1362	62
956	1364	61
957	1365	59
958	1367	58
959	1368	57
960	1369	55
961	1370	54
962	1372	52
963	1373	51
964	1374	49
965	1375	48
966	1377	46
967	1378	45
968	1379	44
969	1380	42
970	1382	41
971	1383	39
972	1384	38
973	1386	37
974	1387	35
975	1388	34
976	1389	32
977	1390	31
978	1392	29
979	1393	28
980	1394	27
981	1396	25
982	1397	24
983	1398	22
984	1399	21
985	1401	19
986	1402	18
987	1403	17
988	1404	15
989	1405	14
990	1407	12
991	1408	11
992	1409	9
993	1410	8
994	1412	7
995	1413	5
996	1414	4
997	1415	2
998	1416	1
999	1418	0
